,Name,Damage,Weight,Gold,Upgrade,Perk,Type,Category
0,Ancient Nord Battle Axe,18.0,22.0,28.0,Steel Ingot,Steel,Battleaxe,Two-Handed
1,Daedric Battleaxe,25.0,27.0,2750.0,Ebony Ingot,Daedric,Battleaxe,Two-Handed
2,Dragonbone Battleaxe ,26.0,30.0,3000.0,Dragon Bone,Dragon,Battleaxe,Two-Handed
4,Dwarven Battleaxe,20.0,23.0,300.0,Dwarven Metal Ingot,Dwarven,Battleaxe,Two-Handed
5,Ebony Battleaxe,23.0,26.0,1585.0,Ebony Ingot,Ebony,Battleaxe,Two-Handed
6,Elven Battleaxe,21.0,24.0,520.0,Refined Moonstone,Elven,Battleaxe,Two-Handed
7,Glass Battleaxe,22.0,25.0,900.0,Refined Malachite,Glass,Battleaxe,Two-Handed
9,Honed Ancient Nord Battle Axe,21.0,25.0,50.0,Steel Ingot,Dwarven,Battleaxe,Two-Handed
11,Nord Hero Battle Axe,21.0,20.0,300.0,Steel Ingot,Steel,Battleaxe,Two-Handed
12,Nordic Battleaxe DR,21.0,23.0,650.0,Quicksilver Ingot,Advanced,Battleaxe,Two-Handed
13,Orcish Battleaxe,19.0,25.0,165.0,Orichalcum Ingot,Orcish,Battleaxe,Two-Handed
14,Skyforge Steel Battleaxe,21.0,21.0,150.0,Steel Ingot,Steel,Battleaxe,Two-Handed
15,Stalhrim Battleaxe ,24.0,25.0,2150.0,Stalhrim,Ebony,Battleaxe,Two-Handed
16,Steel Battleaxe of Fiery Souls,18.0,21.0,320.0,Steel Ingot,Steel,Battleaxe,Two-Handed
17,Steel Battleaxe,18.0,21.0,100.0,Steel Ingot,Steel,Battleaxe,Two-Handed
23,Blade of Woe,12.0,7.0,880.0,None required,Steel,Dagger,One-Handed
25,Bloodthorn,8.0,2.5,183.0,Steel Ingot,Steel,Dagger,One-Handed
26,Borvir's Dagger,8.0,4.0,18.0,Refined Moonstone,Elven,Dagger,One-Handed
27,Daedric Dagger,11.0,6.0,500.0,Ebony Ingot,Daedric,Dagger,One-Handed
28,Dragonbone Dagger ,12.0,6.5,600.0,Dragon Bone,Dragon,Dagger,One-Handed
30,Dwarven Dagger,7.0,3.5,55.0,Dwarven Metal Ingot,Dwarven,Dagger,One-Handed
31,Ebony Dagger,10.0,5.0,290.0,Ebony Ingot,Ebony,Dagger,One-Handed
32,Elven Dagger,8.0,4.0,95.0,Refined Moonstone,Elven,Dagger,One-Handed
33,Glass Dagger,9.0,4.5,165.0,Refined Malachite,Glass,Dagger,One-Handed
39,Nordic Dagger ,8.0,3.5,115.0,Quicksilver Ingot,Advanced,Dagger,One-Handed
40,Orcish Dagger,6.0,3.0,30.0,Orichalcum Ingot,Orcish,Dagger,One-Handed
41,Rundi's Dagger,5.0,2.5,18.0,Steel Ingot,Steel,Dagger,One-Handed
44,Stalhrim Dagger ,10.0,4.5,395.0,Stalhrim,Ebony,Dagger,One-Handed
45,Steel Dagger,5.0,2.5,18.0,Steel Ingot,Steel,Dagger,One-Handed
46,Valdr's Lucky Dagger,5.0,2.5,15.0,Steel Ingot,Steel,Dagger,One-Handed
47,Daedric Mace,16.0,20.0,1750.0,Ebony Ingot,Daedric,Mace,One-Handed
